PHOT_CAT v1.0
5
U B V R I
PG 0231+051      14.5840 15.7760 16.1050 16.2670 16.6390 11100
PG 0231+051A     13.7520 13.4820 12.7720 12.3670 11.9730 11111
PG 0231+051B     17.5250 16.1830 14.7350 13.7810 12.7840 01111
PG 0231+051C     14.4870 14.3730 13.7020 13.3030 12.9190 00000
PG 0231+051D     16.1610 15.1150 14.0270 13.3520 12.7710 00000
PG 0231+051E     14.6820 14.4810 13.8040 13.4140 13.0470 00000
PG 0918+029      11.9750 13.0560 13.3270 13.4560 13.6150 11111
PG 0918+029A     14.9940 15.0260 14.4900 14.1650 13.8290 11111
PG 0918+029B     15.0940 14.7280 13.9630 13.5460 13.1760 01111
PG 0918+029C     14.2550 14.1680 13.5370 13.1700 12.8150 11111
PG 0918+029D     14.1370 13.3160 12.2720 11.6970 11.1640 11111
PG 0942-029      12.5350 13.7100 14.0040 14.1340 14.2840 11110
PG 0942-029A     15.8530 15.5140 14.7310 14.1210 13.6500 00000
PG 0942-029B     14.7180 14.6330 14.1080 13.7400 13.4110 00000
PG 0942-029C     16.0850 15.7160 14.9890 14.4500 14.0800 00000
PG 0942-029D     14.4000 14.2710 13.7070 13.3590 13.0200 00000
PG 1034+001      11.5890 12.8630 13.2280 13.3830 13.5870 11111
PG 1047+003      12.0630 13.1840 13.4740 13.6060 13.7690 11111
PG 1047+003A     14.3680 14.2000 13.5120 13.0900 12.6720 11111
PG 1047+003B     15.6020 15.4300 14.7510 14.3600 13.9870 01111
PG 1047+003C     13.0410 13.0600 12.4530 12.0750 11.7160 22222
PG 1323-086      12.6600 13.3410 13.4810 13.5290 13.6080 11111
PG 1323-086A     13.9650 13.9840 13.5910 13.3390 13.0850 22222
PG 1323-086B     14.4320 14.1670 13.4060 12.9800 12.5730 11111
PG 1323-086C     14.9550 14.7100 14.0030 13.6080 13.2440 11111
PG 1323-086D     12.6720 12.6670 12.0800 11.7340 11.3960 11111
PG 1407-013      12.3720 13.4910 13.7500 13.8800 14.0270 00000
PG 1514+034      13.0330 13.9880 13.9970 13.9100 13.7850 00000
PG 1525-071      13.7070 14.8550 15.0530 15.1410 15.2210 00000
PG 1525-071A     14.5230 14.2660 13.5090 13.0640 12.6400 00000
PG 1525-071B     17.2680 17.1330 16.4030 15.9610 15.5950 00000
PG 1525-071C     15.7690 14.6390 13.5300 12.9400 12.4260 00000
PG 1525-071D     17.1700 16.8650 16.3010 15.8900 15.5440 00000
PG 1528+062      13.4240 14.5150 14.7670 14.8780 15.0630 00000
PG 1528+062A     16.7390 16.3830 15.5530 15.1200 14.7290 00000
PG 1528+062B     12.5870 12.5820 11.9890 11.6250 11.2780 00000
PG 1528+062C     14.1950 14.1210 13.4770 13.1200 12.7780 00000
PG 1530+057      13.5730 14.3620 14.2110 14.0490 14.0120 00000
PG 1530+057A     14.9540 14.5400 13.7110 13.2380 12.8250 00000
PG 1530+057B     13.9120 13.5870 12.8420 12.4190 12.0430 00000
PG 1633+099      13.2310 14.2050 14.3970 14.4900 14.6090 11111
PG 1633+099A     16.4490 16.1290 15.2560 14.7510 14.2410 11111
PG 1633+099B     15.0570 14.0500 12.9690 12.3790 11.8790 11111
PG 1633+099C     15.5010 14.3630 13.2290 12.6110 12.0910 11111
PG 1633+099D     14.2010 14.2260 13.6910 13.3670 13.0410 11111
PG 1647+056      13.5360 14.6000 14.7730 14.8310 14.8550 00000
PG 1657+078      13.9260 14.8660 15.0150 15.0780 15.1150 11110
PG 1657+078A     15.8320 15.1020 14.0330 13.4600 12.9200 00000
PG 1657+078B     15.4940 15.4290 14.7210 14.3040 13.8830 00000
PG 1657+078C     16.4500 16.0650 15.2250 14.7040 14.2580 00000
PG 2213-006      12.7820 13.9070 14.1240 14.2160 14.3270 11111
PG 2213-006A     14.9510 14.8510 14.1780 13.7720 13.3700 11111
PG 2213-006B     13.7520 13.4550 12.7060 12.2790 11.8770 11111
PG 2213-006C     16.0070 15.8300 15.1090 14.6830 14.2790 11111
PG 2317+046      11.4930 12.6300 12.8760 12.9500 12.9940 11111
PG 2331+055      14.6290 15.1160 15.1820 15.1940 15.2260 00000
PG 2331+055A     14.0490 13.7920 13.0510 12.6320 12.2300 00000
PG 2331+055B     15.9920 15.5630 14.7440 14.2630 13.8090 00000
PG 2336+004      14.9460 15.7270 15.8990 15.9600 16.0090 00000
PG 2336+004A     12.0910 11.9560 11.2770 10.8790 10.5100 00000
PG 2336+004B     12.9030 12.9380 12.4310 12.1170 11.8060 00000
PG 2349+002      12.1650 13.0860 13.2770 13.3800 13.4960 11111
Rubin 149        12.9580 13.7370 13.8660 13.9060 13.9740 11111
Rubin 149A       14.9110 14.7930 14.4950 14.2990 14.1040 33333
Rubin 149B       13.4550 13.3040 12.6420 12.2680 11.9140 11111
Rubin 149C       14.7610 14.6200 14.4250 14.3320 14.2030 11111
Rubin 149D       11.1560 11.4430 11.4800 11.4590 11.4510 11111
Rubin 149E       14.2330 14.2400 13.7180 13.3970 13.0810 11111
Rubin 149F       15.6110 14.5860 13.4710 12.8770 12.3390 01111
Rubin 149G       13.4030 13.3700 12.8290 12.5070 12.1840 33333
Rubin 152        11.7510 12.8240 13.0140 13.0710 13.1590 11111
Rubin 152A       14.7990 14.8840 14.3410 14.0160 13.6870 01111
Rubin 152B       15.5410 15.5190 15.0190 14.7290 14.4190 01110
Rubin 152C       12.7820 12.7950 12.2220 11.8800 11.5390 11111
Rubin 152D       12.4420 11.9510 11.0760 10.6030 10.1550 11111
Rubin 152E       12.3180 12.4040 12.3620 12.3320 12.2970 11111
Rubin 152F       15.2680 15.1990 14.5640 14.1820 13.8750 11110
SA 100-162       11.9230 10.4260  9.1500  8.5010  7.9470 11111
SA 100-241       10.3970 10.2960 10.1390 10.0610  9.9760 11111
SA 100-267       13.4500 13.5120 13.0270 12.7200 12.4190 00000
SA 100-269       12.8570 12.8970 12.3500 12.0150 11.6840 00000
SA 100-280       12.2910 12.2930 11.7990 11.5040 11.2110 11111
SA 100-394       14.1580 12.7010 11.3840 10.6790 10.0430 11111
SA 100-606        8.8180  8.6930  8.6410  8.6150  8.5930 11111
SA 100-95        10.1200  9.7290  8.9150  8.4620  8.0310 11111
SA 101-207       12.8560 12.9340 12.4190 12.0980 11.7780 11111
SA 101-24        10.1420  9.1050  7.9970  7.4220  6.9060 11111
SA 101-262       15.3760 15.0790 14.2950 13.8550 13.4680 00000
SA 101-268       17.2920 15.9110 14.3800 13.3400 12.1430 00111
SA 101-270       14.3200 14.2650 13.7110 13.3790 13.0740 00000
SA 101-278       17.2720 16.5350 15.4940 14.8980 14.3500 00000
SA 101-281       12.8060 12.3870 11.5750 11.1230 10.7110 11111
SA 101-282       10.4410 10.4310 10.0020  9.7420  9.4820 11111
SA 101-311        8.5010  8.4980  8.2330  8.0740  7.9110 11111
SA 101-315       13.4580 12.4020 11.2490 10.6370 10.0770 11111
SA 101-316       12.0770 12.0450 11.5520 11.2590 10.9680 11111
SA 101-320       15.5650 14.8750 13.8230 13.2420 12.6820 01111
SA 101-324       12.0510 10.9030  9.7420  9.1510  8.6320 11111
SA 101-326       15.8790 15.6520 14.9230 14.5170 14.1430 01111
SA 101-327       15.7350 14.5960 13.4410 12.7240 12.1510 11111
SA 101-330       14.2740 14.3000 13.7230 13.3770 13.0390 11111
SA 101-333       11.1070  9.3200  7.8350  7.0400  6.3110 11111
SA 101-338       14.4460 14.4220 13.7880 13.4380 13.0970 00000
SA 101-339       15.8000 15.2990 14.4490 13.9910 13.5920 00000
SA 101-341       14.9760 14.9170 14.3420 14.0100 13.7010 00000
SA 101-342       16.0200 16.0850 15.5560 15.2170 14.7980 00000
SA 101-343       16.2040 16.1100 15.5040 15.1080 14.7700 00000
SA 101-363       10.2640 10.1350  9.8740  9.7280  9.5770 11111
SA 101-389       10.3880 10.3890  9.9620  9.7060  9.4590 11111
SA 101-404       15.1520 14.4550 13.4590 12.9290 12.4300 11111
SA 101-408       17.3320 15.9850 14.7850 14.0670 13.4640 00000
SA 101-410       14.1290 14.1920 13.6460 13.3480 13.0230 00000
SA 101-413       14.2820 13.5660 12.5830 12.0540 11.5580 11111
SA 101-415       15.8280 15.8360 15.2590 14.9130 14.5640 00000
SA 101-421       13.6560 13.6870 13.1800 12.8530 12.5570 00000
SA 101-424       16.0950 15.8220 15.0580 14.6290 14.2030 00000
SA 101-427       16.0900 15.7690 14.9640 14.4800 14.1100 00000
SA 101-429       15.2580 14.4760 13.4960 12.8790 12.3530 11111
SA 101-431       16.0740 14.9300 13.6840 12.8760 12.1670 11111
SA 101-L1        17.1540 17.2580 16.5010 16.0800 15.5540 00000
SA 101-L2        16.4540 16.3720 15.7700 15.4490 15.1450 00000
SA 101-L3        16.5570 16.5900 15.9530 15.5570 15.1610 00000
SA 101-L4        17.4190 17.0570 16.2640 15.6860 15.6200 00000
SA 101-L5        16.6650 16.5500 15.9280 15.5140 15.2080 00000
SA 101-L6        17.3910 17.2080 16.4970 16.0520 15.4730 00000
SA 102-1081      10.8220 10.5670  9.9030  9.5370  9.2050 11111
SA 102-276       10.3780 10.4020  9.9100  9.6190  9.3350 11111
SA 102-381        8.3200  8.2250  7.9160  7.7430  7.5700 11111
SA 102-466       11.2230 10.3020  9.2460  8.6830  8.1770 11111
SA 102-472       10.5870  9.7680  8.7540  8.2260  7.7430 11111
SA 102-58         9.4610  9.4400  9.3800  9.3360  9.3200 11111
SA 102-620       12.1720 11.1520 10.0690  9.4270  8.9020 11111
SA 102-625        9.4770  9.4420  8.8900  8.5780  8.2690 11111
SA 103-302       10.1730 10.2290  9.8610  9.6330  9.3960 11111
SA 103-462       10.7640 10.6750 10.1110  9.7870  9.4810 11111
SA 103-483        8.8730  8.7800  8.3530  8.1080  7.8730 11111
SA 103-526       12.9330 11.9920 10.9030 10.3400  9.8300 11111
SA 103-626       12.1920 12.2490 11.8360 11.5740 11.3010 11111
SA 104-237       17.4010 16.4830 15.3950 14.7480 14.1210 00000
SA 104-239       16.5830 15.2920 13.9360 13.0680 12.2610 00000
SA 104-244       16.4490 16.6010 16.0110 15.6730 15.1860 00000
SA 104-306       12.6280 10.9620  9.3700  8.5380  7.7790 22222
SA 104-325       16.3260 16.2750 15.5810 15.2360 14.9290 00000
SA 104-330       15.8620 15.8900 15.2960 14.9270 14.5570 00100
SA 104-334       13.9350 14.0020 13.4840 13.1610 12.8310 11111
SA 104-335       12.4320 12.2870 11.6650 11.3080 10.9740 00000
SA 104-336       15.7290 15.2340 14.4040 13.9430 13.5390 01111
SA 104-337       12.3110 11.9750 11.2070 10.7730 10.3750 11111
SA 104-338       16.5680 16.6500 16.0590 15.7110 15.3400 00110
SA 104-339       17.0000 16.2910 15.4590 14.9830 14.6100 00000
SA 104-350       14.4720 14.3070 13.6340 13.2510 12.8980 11111
SA 104-364       16.2690 16.4000 15.7990 15.4850 15.0870 00000
SA 104-366       14.2020 13.7780 12.9080 12.3910 11.9260 00000
SA 104-367       16.3570 16.4830 15.8440 15.4620 15.1650 00000
SA 104-423       16.2820 16.2320 15.6020 15.3400 14.7840 00000
SA 104-428       14.3630 13.6150 12.6300 12.0960 11.5980 11111
